name,mimetype,group1,group2
amr-wb+,amr-wb+,other,
application/1d-interleaved-parityfec,application/1d-interleaved-parityfec,other,
application/3gpdash-qoe-report+xml,application/3gpdash-qoe-report+xml,structureddata,
application/3gpp-ims+xml,application/3gpp-ims+xml,structureddata,
application/activemessage,application/activemessage,other,
application/alto-costmap+json,application/alto-costmap+json,structureddata,
application/alto-costmapfilter+json,application/alto-costmapfilter+json,structureddata,
application/alto-directory+json,application/alto-directory+json,structureddata,
application/alto-endpointcost+json,application/alto-endpointcost+json,structureddata,
application/alto-endpointcostparams+json,application/alto-endpointcostparams+json,structureddata,
application/alto-endpointprop+json,application/alto-endpointprop+json,structureddata,
application/alto-endpointpropparams+json,application/alto-endpointpropparams+json,structureddata,
application/alto-error+json,application/alto-error+json,structureddata,
application/alto-networkmap+json,application/alto-networkmap+json,structureddata,
application/alto-networkmapfilter+json,application/alto-networkmapfilter+json,structureddata,
application/andrew-inset,application/andrew-inset,other,
application/applefile,application/applefile,other,
application/applixware,application/applixware,other,
application/ATF,application/ATF,other,
application/atom+xml,application/atom+xml,structureddata,
application/atomcat+xml,application/atomcat+xml,structureddata,
application/atomdeleted+xml,application/atomdeleted+xml,structureddata,
application/atomicmail,application/atomicmail,other,
application/atomsvc+xml,application/atomsvc+xml,structureddata,
application/auth-policy+xml,application/auth-policy+xml,structureddata,
application/bacnet-xdd+zip,application/bacnet-xdd+zip,bundle,
application/batch-smtp,application/batch-smtp,other,
application/beep+xml,application/beep+xml,structureddata,
application/bizagi-modeler,application/bizagi-modeler,other,
application/calendar+json,application/calendar+json,structureddata,
application/calendar+xml,application/calendar+xml,structureddata,
application/call-completion,application/call-completion,other,
application/cals-1840,application/cals-1840,other,
application/cbor,application/cbor,other,
application/ccmp+xml,application/ccmp+xml,structureddata,
application/ccxml+xml,application/ccxml+xml,structureddata,
application/cdmi-capability,application/cdmi-capability,other,
application/cdmi-container,application/cdmi-container,other,
application/cdmi-domain,application/cdmi-domain,other,
application/cdmi-object,application/cdmi-object,other,
application/cdmi-queue,application/cdmi-queue,structureddata,
application/cea-2018+xml,application/cea-2018+xml,structureddata,
application/cellml+xml,application/cellml+xml,structureddata,
application/cfw,application/cfw,other,
application/cms,application/cms,other,
application/cnrp+xml,application/cnrp+xml,structureddata,
application/commonground,application/commonground,other,
application/conference-info+xml,application/conference-info+xml,structureddata,
application/cpl+xml,application/cpl+xml,structureddata,
application/csrattrs,application/csrattrs,other,
application/csta+xml,application/csta+xml,structureddata,
application/cstadata+xml,application/cstadata+xml,structureddata,
application/cu-seeme,application/cu-seeme,other,
application/cybercash,application/cybercash,other,
application/dash+xml,application/dash+xml,structureddata,
application/dashdelta,application/dashdelta,other,
application/davmount+xml,application/davmount+xml,structureddata,
application/dca-rft,application/dca-rft,other,
application/DCD,application/DCD,other,
application/dec-dx,application/dec-dx,other,
application/dialog-info+xml,application/dialog-info+xml,structureddata,
application/dicom,application/dicom,other,
application/dita+xml;format=concept,application/dita+xml;format=concept,structureddata,
application/dita+xml;format=map,application/dita+xml;format=map,structureddata,
application/dita+xml;format=task,application/dita+xml;format=task,structureddata,
application/dita+xml;format=topic,application/dita+xml;format=topic,structureddata,
application/dita+xml;format=val,application/dita+xml;format=val,structureddata,
application/dns,application/dns,other,
application/dskpp+xml,application/dskpp+xml,structureddata,
application/dssc+der,application/dssc+der,other,
application/dssc+xml,application/dssc+xml,structureddata,
application/dvcs,application/dvcs,other,
application/ecmascript,application/ecmascript,web,
application/edi-consent,application/edi-consent,other,
application/edi-x12,application/edi-x12,other,
application/edifact,application/edifact,other,
application/emma+xml,application/emma+xml,structureddata,
application/emotionml+xml,application/emotionml+xml,structureddata,
application/encaprtp,application/encaprtp,other,
application/epp+xml,application/epp+xml,structureddata,
application/epub+zip,application/epub+zip,bundle,
application/eshop,application/eshop,other,
application/example,application/example,other,
application/fastinfoset,application/fastinfoset,other,
application/fastsoap,application/fastsoap,other,
application/fdt+xml,application/fdt+xml,structureddata,
application/fits,application/fits,other,
application/font-sfnt,application/font-sfnt,other,
application/font-tdpfr,application/font-tdpfr,other,
application/font-woff,application/font-woff,other,
application/framework-attributes+xml,application/framework-attributes+xml,structureddata,
application/gzip,application/gzip,bundle,
application/h224,application/h224,other,
application/held+xml,application/held+xml,structureddata,
application/http,application/http,web,
application/hyperstudio,application/hyperstudio,other,
application/ibe-key-request+xml,application/ibe-key-request+xml,structureddata,
application/ibe-pkg-reply+xml,application/ibe-pkg-reply+xml,structureddata,
application/ibe-pp-data,application/ibe-pp-data,other,
application/iges,application/iges,other,
application/im-iscomposing+xml,application/im-iscomposing+xml,structureddata,
application/index,application/index,other,
application/index.cmd,application/index.cmd,program,
application/index.obj,application/index.obj,other,
application/index.response,application/index.response,other,
